Date,state,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500
2019-01-03,GA,1916959.0,8570364.0,33700762.0,7933407.0,8201110.0,4106260.0,5267321.0,5190090.0,1988118.0,570958.0,300292.0,95730.0,47476.0
2019-01-03,HI,282005.0,1134145.0,4846334.0,1509915.0,1251235.0,536268.0,628395.0,790000.0,88636.0,20400.0,11011.0,3985.0,6489.0
2019-01-03,ID,341649.0,1407198.0,5680654.0,1355295.0,1529828.0,730635.0,834364.0,736754.0,278151.0,121758.0,64390.0,19421.0,10058.0
2019-01-03,IL,2618092.0,10084041.0,49848746.0,12837958.0,12349455.0,6025051.0,7549349.0,7397778.0,2571774.0,603484.0,342963.0,101304.0,69630.0
2019-01-03,IN,1272680.0,5398746.0,24318977.0,5767746.0,6052243.0,3066996.0,3773058.0,3713484.0,1236475.0,410346.0,221425.0,47857.0,29347.0
2019-01-03,IA,611648.0,2534849.0,11728176.0,2628468.0,3094949.0,1390623.0,1718431.0,1755183.0,714343.0,250239.0,121958.0,34000.0,19982.0
2019-01-03,KS,574408.0,2328193.0,11237463.0,2735492.0,2960239.0,1321433.0,1622956.0,1647484.0,598838.0,209336.0,102756.0,25200.0,13729.0
2019-01-03,ME,286786.0,1047528.0,4096243.0,887456.0,1008621.0,500179.0,605143.0,671287.0,277237.0,96652.0,37875.0,7123.0,4670.0
2019-01-03,MD,1087025.0,4937225.0,22551951.0,5780957.0,5484356.0,2596480.0,3472256.0,3567806.0,1220759.0,268099.0,98413.0,26019.0,36806.0
2019-01-03,MA,1442723.0,5438330.0,28117808.0,7265580.0,7161397.0,3444979.0,4128933.0,4217732.0,1391118.0,329791.0,102938.0,21196.0,54144.0
2019-01-03,MI,1900580.0,8064783.0,35462356.0,8328165.0,8601808.0,4358710.0,5653349.0,5701127.0,1891487.0,551531.0,252551.0,59803.0,63825.0
2019-01-03,MN,1031386.0,4562645.0,20696247.0,4786125.0,4874563.0,2375217.0,3143072.0,3593594.0,1212432.0,408361.0,205839.0,52901.0,44143.0
2019-01-03,NM,427565.0,1661458.0,8427315.0,2233888.0,2272782.0,1026568.0,1231752.0,928826.0,380708.0,219969.0,97742.0,25093.0,9987.0
2019-01-03,NY,4714018.0,14768458.0,79078238.0,22743630.0,18992496.0,9591850.0,12260142.0,10949020.0,3113436.0,928669.0,320318.0,73745.0,104932.0
2019-01-03,NC,1835778.0,8516103.0,35172928.0,7710210.0,8702781.0,4503808.0,5748804.0,5706682.0,1893965.0,549694.0,251784.0,67623.0,37577.0
2019-01-03,ND,147037.0,610718.0,2740144.0,704858.0,762771.0,363968.0,330736.0,271265.0,147736.0,92817.0,46529.0,15408.0,4056.0
2019-01-03,OH,2273606.0,9380107.0,40762331.0,9719353.0,9822566.0,4951689.0,6484459.0,6776108.0,1958765.0,652622.0,286430.0,73015.0,37324.0
2019-01-03,OK,788690.0,3142334.0,12470873.0,3390807.0,3201655.0,1483678.0,1746535.0,1789831.0,528093.0,200381.0,100087.0,20761.0,9045.0
2019-01-03,OR,877120.0,3300781.0,14871791.0,3747006.0,4191579.0,1857005.0,2046310.0,2012876.0,606314.0,243698.0,116529.0,25299.0,25175.0
2019-01-03,PA,2539000.0,10228915.0,43819112.0,10717674.0,10820771.0,5416192.0,6923258.0,6751272.0,2048554.0,702769.0,344378.0,56441.0,37803.0
2019-01-03,RI,201914.0,852169.0,3697380.0,888410.0,927702.0,452884.0,586998.0,605977.0,177020.0,38267.0,13062.0,2538.0,4522.0
2019-01-03,SC,869939.0,4198644.0,16707521.0,3744753.0,4147958.0,2075130.0,2704350.0,2757271.0,851362.0,253731.0,125263.0,29355.0,18348.0
2019-01-03,SD,170734.0,708801.0,3275216.0,796407.0,892384.0,402058.0,444115.0,391365.0,184001.0,98249.0,49182.0,12202.0,5253.0
2019-01-03,TN,1261412.0,5487906.0,23643310.0,5250033.0,5942542.0,2995632.0,3752315.0,3862456.0,1200319.0,376464.0,177706.0,57704.0,28139.0
2019-01-03,TX,5036357.0,23577754.0,92612067.0,24394970.0,22857033.0,10783558.0,13546691.0,13705719.0,4790499.0,1502363.0,737133.0,201280.0,92821.0
2019-01-03,UT,633498.0,2517943.0,12128407.0,3075274.0,3168223.0,1509352.0,1751430.0,1597495.0,626487.0,194080.0,126383.0,49488.0,30195.0
2019-01-03,VT,131853.0,492531.0,2126609.0,446339.0,551642.0,289462.0,321332.0,325699.0,133841.0,33636.0,17520.0,3524.0,3614.0
2019-01-03,VA,1535432.0,6956223.0,31308976.0,7833060.0,7735250.0,3869726.0,4827887.0,4792422.0,1513896.0,452178.0,186751.0,51113.0,46693.0
2019-01-03,WA,1400573.0,6111987.0,26438994.0,6327637.0,6879347.0,3231389.0,4064734.0,3988409.0,1293678.0,377715.0,180804.0,39726.0,55555.0
2019-01-03,WV,382916.0,1417394.0,6080235.0,1380599.0,1598630.0,771159.0,946866.0,859206.0,331060.0,128336.0,52044.0,8724.0,3611.0
2019-01-03,WI,1057005.0,4738795.0,21124703.0,4448929.0,5167071.0,2570226.0,3420962.0,3524706.0,1316699.0,403641.0,193571.0,42687.0,36211.0
2019-01-03,WY,133206.0,442764.0,2235198.0,566030.0,683146.0,290387.0,229440.0,196177.0,139235.0,83884.0,36938.0,6396.0,3565.0
